bucket,topic,month,interest
sci_math,Fractal,201101,24
sci_math,Fractal,201102,23
sci_math,Fractal,201103,24
sci_math,Fractal,201104,24
sci_math,Fractal,201105,23
sci_math,Fractal,201106,21
sci_math,Fractal,201107,20
sci_math,Fractal,201108,24
sci_math,Fractal,201109,24
sci_math,Fractal,201110,24
sci_math,Fractal,201111,23
sci_math,Fractal,201112,21
sci_math,Fractal,201201,21
sci_math,Fractal,201202,22
sci_math,Fractal,201203,20
sci_math,Fractal,201204,22
sci_math,Fractal,201205,21
sci_math,Fractal,201206,20
sci_math,Fractal,201207,19
sci_math,Fractal,201208,20
sci_math,Fractal,201209,24
sci_math,Fractal,201210,22
sci_math,Fractal,201211,24
sci_math,Fractal,201212,23
sci_math,Fractal,201301,25
sci_math,Fractal,201302,25
sci_math,Fractal,201303,25
sci_math,Fractal,201304,24
sci_math,Fractal,201305,22
sci_math,Fractal,201306,22
sci_math,Fractal,201307,21
sci_math,Fractal,201308,20
sci_math,Fractal,201309,21
sci_math,Fractal,201310,23
sci_math,Fractal,201311,24
sci_math,Fractal,201312,25
sci_math,Fractal,201401,26
sci_math,Fractal,201402,24
sci_math,Fractal,201403,24
sci_math,Fractal,201404,22
sci_math,Fractal,201405,22
sci_math,Fractal,201406,19
sci_math,Fractal,201407,19
sci_math,Fractal,201408,20
sci_math,Fractal,201409,19
sci_math,Fractal,201410,22
sci_math,Fractal,201411,22
sci_math,Fractal,201412,23
sci_math,Fractal,201501,22
sci_math,Fractal,201502,22
sci_math,Fractal,201503,20
sci_math,Fractal,201504,21
sci_math,Fractal,201505,20
sci_math,Fractal,201506,21
sci_math,Fractal,201507,20
sci_math,Fractal,201508,20
sci_math,Fractal,201509,22
sci_math,Fractal,201510,24
sci_math,Fractal,201511,24
sci_math,Fractal,201512,24
sci_math,Fractal,201601,22
sci_math,Fractal,201602,21
sci_math,Fractal,201603,20
sci_math,Fractal,201604,19
sci_math,Fractal,201605,19
sci_math,Fractal,201606,18
sci_math,Fractal,201607,17
sci_math,Fractal,201608,16
sci_math,Fractal,201609,20
sci_math,Fractal,201610,22
sci_math,Fractal,201611,21
sci_math,Fractal,201612,19
sci_math,Fractal,201701,18
sci_math,Fractal,201702,18
sci_math,Fractal,201703,20
sci_math,Fractal,201704,18
sci_math,Fractal,201705,18
sci_math,Fractal,201706,16
sci_math,Fractal,201707,15
sci_math,Fractal,201708,19
sci_math,Fractal,201709,17
sci_math,Fractal,201710,18
sci_math,Fractal,201711,19
sci_math,Fractal,201712,20
sci_math,Fractal,201801,19
sci_math,Fractal,201802,18
sci_math,Fractal,201803,18
sci_math,Fractal,201804,17
sci_math,Fractal,201805,16
sci_math,Fractal,201806,15
sci_math,Fractal,201807,15
sci_math,Fractal,201808,16
sci_math,Fractal,201809,16
sci_math,Fractal,201810,17
sci_math,Fractal,201811,18
sci_math,Fractal,201812,15
sci_math,Fractal,201901,16
sci_math,Fractal,201902,17
sci_math,Fractal,201903,17
sci_math,Fractal,201904,16
sci_math,Fractal,201905,15
sci_math,Fractal,201906,15
sci_math,Fractal,201907,15
sci_math,Fractal,201908,17
sci_math,Fractal,201909,16
sci_math,Fractal,201910,16
sci_math,Fractal,201911,17
sci_math,Fractal,201912,19
sci_math,Fractal,202001,17
sci_math,Fractal,202002,18
sci_math,Fractal,202003,16
sci_math,Fractal,202004,18
sci_math,Fractal,202005,20
sci_math,Fractal,202006,18
sci_math,Fractal,202007,17
sci_math,Fractal,202008,17
sci_math,Fractal,202009,19
sci_math,Fractal,202010,16
sci_math,Fractal,202011,17
sci_math,Fractal,202012,17
sci_math,Fractal,202101,15
sci_math,Fractal,202102,17
sci_math,Fractal,202103,14
sci_math,Fractal,202104,14
sci_math,Fractal,202105,13
sci_math,Fractal,202106,13
sci_math,Fractal,202107,14
sci_math,Fractal,202108,15
sci_math,Fractal,202109,13
sci_math,Fractal,202110,14
sci_math,Fractal,202111,14
sci_math,Fractal,202112,13
sci_math,Fractal,202201,19
sci_math,Fractal,202202,20
sci_math,Fractal,202203,19
sci_math,Fractal,202204,20
sci_math,Fractal,202205,17
sci_math,Fractal,202206,16
sci_math,Fractal,202207,18
sci_math,Fractal,202208,17
sci_math,Fractal,202209,17
sci_math,Fractal,202210,18
sci_math,Fractal,202211,20
sci_math,Fractal,202212,24
sci_math,Fractal,202301,22
sci_math,Fractal,202302,23
sci_math,Fractal,202303,20
sci_math,Fractal,202304,19
sci_math,Fractal,202305,19
sci_math,Fractal,202306,19
sci_math,Fractal,202307,20
sci_math,Fractal,202308,22
sci_math,Fractal,202309,20
sci_math,Fractal,202310,19
sci_math,Fractal,202311,21
sci_math,Fractal,202312,20
sci_math,Fractal,202401,21
sci_math,Fractal,202402,22
sci_math,Fractal,202403,22
sci_math,Fractal,202404,20
sci_math,Fractal,202405,19
sci_math,Fractal,202406,21
sci_math,Fractal,202407,19
sci_math,Fractal,202408,22
sci_math,Fractal,202409,25
sci_math,Fractal,202410,24
sci_math,Fractal,202411,25
sci_math,Fractal,202412,27
sci_math,Fractal,202501,26
sci_math,Fractal,202502,27
sci_math,Fractal,202503,25
sci_math,Fractal,202504,22
sci_math,Fractal,202505,25
sci_math,Fractal,202506,24
sci_math,Fractal,202507,25
sci_math,Fractal,202508,38
sci_math,Fractal,202509,33
sci_math,Fractal,202510,32
sci_math,Fractal,202511,37
sci_math,Fractal,202512,35
sci_math,Fractal,202601,31
sci_math,Fractal,202602,48
sci_math,Topology,200401,93
sci_math,Topology,200402,96
sci_math,Topology,200403,95
sci_math,Topology,200404,99
sci_math,Topology,200405,94
sci_math,Topology,200406,83
sci_math,Topology,200407,78
sci_math,Topology,200408,77
sci_math,Topology,200409,97
sci_math,Topology,200410,100
sci_math,Topology,200411,87
sci_math,Topology,200412,78
sci_math,Topology,200501,76
sci_math,Topology,200502,86
sci_math,Topology,200503,86
sci_math,Topology,200504,83
sci_math,Topology,200505,77
sci_math,Topology,200506,67
sci_math,Topology,200507,60
sci_math,Topology,200508,59
sci_math,Topology,200509,70
sci_math,Topology,200510,71
sci_math,Topology,200511,68
sci_math,Topology,200512,62
sci_math,Topology,200601,61
